"Step","eager-shadow-1 - train_accuracy","eager-shadow-1 - train_accuracy__MIN","eager-shadow-1 - train_accuracy__MAX","eager-shadow-1 - val_accuracy","eager-shadow-1 - val_accuracy__MIN","eager-shadow-1 - val_accuracy__MAX"
"549","0.9778378378378374","0.9778378378378374","0.9778378378378374","1","1","1"
"551","0.979189189189189","0.979189189189189","0.979189189189189","1","1","1"
"553","0.9762162162162159","0.9762162162162159","0.9762162162162159","1","1","1"
"555","0.9754054054054055","0.9754054054054055","0.9754054054054055","1","1","1"
"557","0.9740540540540537","0.9740540540540537","0.9740540540540537","1","1","1"
"559","0.9716216216216211","0.9716216216216211","0.9716216216216211","1","1","1"
"561","0.9745945945945946","0.9745945945945946","0.9745945945945946","1","1","1"
"563","0.978378378378378","0.978378378378378","0.978378378378378","1","1","1"
"565","0.9813513513513509","0.9813513513513509","0.9813513513513509","1","1","1"
"567","0.9845945945945946","0.9845945945945946","0.9845945945945946","1","1","1"
"569","0.981081081081081","0.981081081081081","0.981081081081081","1","1","1"
"571","0.9810810810810812","0.9810810810810812","0.9810810810810812","1","1","1"
"573","0.9789189189189187","0.9789189189189187","0.9789189189189187","1","1","1"
"575","0.9818918918918914","0.9818918918918914","0.9818918918918914","1","1","1"
"577","0.9770270270270272","0.9770270270270272","0.9770270270270272","1","1","1"
"579","0.981351351351351","0.981351351351351","0.981351351351351","1","1","1"
"581","0.9783783783783783","0.9783783783783783","0.9783783783783783","1","1","1"
"583","0.9818918918918916","0.9818918918918916","0.9818918918918916","1","1","1"
"585","0.9740540540540537","0.9740540540540537","0.9740540540540537","1","1","1"
"587","0.9808108108108106","0.9808108108108106","0.9808108108108106","1","1","1"
"589","0.9799999999999998","0.9799999999999998","0.9799999999999998","1","1","1"
"591","0.9810810810810806","0.9810810810810806","0.9810810810810806","1","1","1"
"593","0.9764864864864865","0.9764864864864865","0.9764864864864865","1","1","1"
"595","0.9786486486486486","0.9786486486486486","0.9786486486486486","1","1","1"
