audio_16block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_8block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_16block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_8block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy
,234,0.798127884,0.813658537,,,234,0.737930125,0.752195122,,,,,,,,,,
,235,0.80195122,0.826341463,,,235,0.740276862,0.75902439,,,,,,,,,,
,236,0.799604483,0.820487805,,,236,0.738589321,0.769756098,,,,,,,,,,
,237,0.80279499,0.811707317,,,237,0.741120633,0.777560976,,,,,,,,,,
,238,0.801634806,0.824390244,,,238,0.74127884,0.775609756,,,,,,,,,,
,239,0.803005933,0.828292683,,,239,0.741568886,0.769756098,,,,,,,,,,
,240,0.803796968,0.824390244,,,240,0.741911668,0.756097561,,,,,,,,,,
,241,0.80158207,0.810731707,,,241,0.740355966,0.763902439,,,,,,,,,,
,242,0.801239288,0.817560976,,,242,0.740382334,0.763902439,,,,,,,,,,
,243,0.807092947,0.816585366,,,243,0.745524061,0.75804878,,,,,,,,,,
,244,0.80255768,0.820487805,,,244,0.742623599,0.746341463,,,,,,,,,,
,245,0.803928807,0.824390244,,,245,0.743599209,0.762926829,,,,,,,,,,
,246,0.805168095,0.813658537,,,246,0.744522083,0.76195122,,,,,,,,,,
,247,0.807989453,0.805853659,,,247,0.749030982,0.749268293,,,,,,,,,,
,248,0.805088991,0.80195122,,,248,0.743651945,0.756097561,,,,,,,,,,
,249,0.803322347,0.792195122,,,249,0.743256427,0.745365854,,,,,,,,,,
,250,0.804113382,0.807804878,,,250,0.742887278,0.76,,,,,,,,,,
,251,0.81033619,0.815609756,,,251,0.748477258,0.766829268,,,,,,,,,,
,252,0.804429796,0.824390244,,,252,0.742518128,0.763902439,,,,,,,,,,
,253,0.809545155,0.818536585,,,253,0.745339486,0.763902439,,,,,,,,,,
,254,0.807382993,0.812682927,,,254,0.747317073,0.775609756,,,,,,,,,,
,255,0.809466051,0.813658537,,,255,0.746657877,0.774634146,,,,,,,,,,
,256,0.806776533,0.83804878,,,256,0.747264338,0.767804878,,,,,,,,,,
,257,0.80972973,0.824390244,,,257,0.748714568,0.771707317,,,,,,,,,,
,258,0.810046144,0.831219512,,,258,0.750138431,0.762926829,,,,,,,,,,
,259,0.807277521,0.824390244,,,259,0.746367831,0.762926829,,,,,,,,,,
,260,0.810494397,0.834146341,,,260,0.7494265,0.767804878,,,,,,,,,,
,261,0.809386948,0.826341463,,,261,0.746526038,0.779512195,,,,,,,,,,
,262,0.812577456,0.835121951,,,262,0.748978247,0.783414634,,,,,,,,,,
,263,0.812208306,0.846829268,,,263,0.750428477,0.793170732,,,,,,,,,,
,264,0.811338167,0.848780488,,,264,0.750823995,0.794146341,,,,,,,,,,
,265,0.812287409,0.826341463,,,265,0.750771259,0.783414634,,,,,,,,,,
,266,0.809993408,0.822439024,,,266,0.749690178,0.774634146,,,,,,,,,,
,267,0.811812788,0.814634146,,,267,0.751193144,0.772682927,,,,,,,,,,
,268,0.811707317,0.830243902,,,268,0.750692156,0.774634146,,,,,,,,,,
,269,0.814871457,0.834146341,,,269,0.754568227,0.768780488,,,,,,,,,,
,270,0.811443639,0.822439024,,,270,0.749110086,0.777560976,,,,,,,,,,
,271,0.812498352,0.831219512,,,271,0.749822017,0.781463415,,,,,,,,,,
,272,0.810468029,0.83804878,,,272,0.749927488,0.776585366,,,,,,,,,,
,273,0.817112722,0.819512195,,,273,0.75380356,0.781463415,,,,,,,,,,
,274,0.816005274,0.83902439,,,274,0.75501648,0.786341463,,,,,,,,,,
,275,0.813289387,0.833170732,,,275,0.752010547,0.783414634,,,,,,,,,,
