"Step","decent-capybara-1 - train_accuracy","decent-capybara-1 - train_accuracy__MIN","decent-capybara-1 - train_accuracy__MAX","decent-capybara-1 - val_accuracy","decent-capybara-1 - val_accuracy__MIN","decent-capybara-1 - val_accuracy__MAX"
"549","0.9454054054054055","0.9454054054054055","0.9454054054054055","1","1","1"
"551","0.9521621621621619","0.9521621621621619","0.9521621621621619","1","1","1"
"553","0.9448648648648647","0.9448648648648647","0.9448648648648647","1","1","1"
"555","0.9443243243243241","0.9443243243243241","0.9443243243243241","1","1","1"
"557","0.9459459459459459","0.9459459459459459","0.9459459459459459","1","1","1"
"559","0.9381081081081083","0.9381081081081083","0.9381081081081083","1","1","1"
"561","0.9413513513513511","0.9413513513513511","0.9413513513513511","1","1","1"
"563","0.9451351351351351","0.9451351351351351","0.9451351351351351","1","1","1"
"565","0.9554054054054053","0.9554054054054053","0.9554054054054053","1","1","1"
"567","0.9559459459459463","0.9559459459459463","0.9559459459459463","1","1","1"
"569","0.9537837837837838","0.9537837837837838","0.9537837837837838","1","1","1"
"571","0.9575675675675673","0.9575675675675673","0.9575675675675673","1","1","1"
"573","0.9535135135135133","0.9535135135135133","0.9535135135135133","1","1","1"
"575","0.9543243243243243","0.9543243243243243","0.9543243243243243","1","1","1"
