stripe_1block95raito,Epoch,stilted-spaceship-1 - train_accuracy__MAX,val_accuracy
,871,0.942162162,0.94
,872,0.940810811,0.94
,873,0.942702703,0.95
,874,0.942432432,0.96
,875,0.943783784,0.95
,876,0.943243243,0.95
,877,0.942162162,0.95
,878,0.942972973,0.95
,879,0.943783784,0.95
,880,0.942702703,0.95
,881,0.941621622,0.94
,882,0.945135135,0.94
,883,0.944594595,0.95
,884,0.942972973,0.95
,885,0.940540541,0.93
,886,0.943243243,0.94
,887,0.944594595,0.95
,888,0.944054054,0.93
,889,0.941621622,0.93
,890,0.944054054,0.93
,891,0.945945946,0.94
,892,0.943513514,0.94
,893,0.944864865,0.94
,894,0.945945946,0.94
,895,0.942432432,0.94
,896,0.946756757,0.94
,897,0.947297297,0.94
,898,0.945135135,0.94
,899,0.941891892,0.94
,900,0.943513514,0.93
,901,0.944054054,0.93
,902,0.944594595,0.93
,903,0.944324324,0.93
,904,0.942972973,0.92
,905,0.944594595,0.93
,906,0.944864865,0.93
,907,0.945945946,0.93
,908,0.944054054,0.94
,909,0.945945946,0.93
,910,0.948108108,0.93
,911,0.940810811,0.93
,912,0.946216216,0.93
,913,0.945945946,0.94
,914,0.944594595,0.93
,915,0.943243243,0.93
,916,0.946756757,0.94
,917,0.948108108,0.94
,918,0.945945946,0.94
,919,0.945405405,0.94
,920,0.948378378,0.94
,921,0.945675676,0.94
,922,0.947027027,0.94
,923,0.945135135,0.94
,924,0.948648649,0.94
,925,0.946216216,0.95
,926,0.945945946,0.94
,927,0.944054054,0.94
,928,0.946486486,0.94
,929,0.946216216,0.94
,930,0.947027027,0.94
,931,0.947297297,0.94
,932,0.94972973,0.94
,933,0.947027027,0.94
,934,0.947297297,0.95
,935,0.947027027,0.94
,936,0.946756757,0.94
,937,0.947297297,0.95
,938,0.942162162,0.95
,939,0.946756757,0.95
,940,0.947297297,0.95
,941,0.945675676,0.95
,942,0.944864865,0.95
,943,0.946756757,0.95
,944,0.945135135,0.95
,945,0.947297297,0.95
,946,0.94972973,0.95
,947,0.944324324,0.94
,948,0.947027027,0.94
,949,0.947567568,0.95
,950,0.945405405,0.96
,951,0.946486486,0.96
,952,0.95027027,0.96
,953,0.947837838,0.96
,954,0.945945946,0.96
,955,0.943243243,0.96
,956,0.945405405,0.95
,957,0.945135135,0.95
,958,0.945675676,0.95
,959,0.946216216,0.95
,960,0.946486486,0.95
,961,0.945945946,0.95
,962,0.946216216,0.95
,963,0.947837838,0.95
,964,0.946486486,0.95
,965,0.945675676,0.95
,966,0.95,0.95
,967,0.944864865,0.95
,968,0.946486486,0.95
,969,0.949189189,0.95
,970,0.947837838,0.95
,971,0.944054054,0.95
,972,0.949189189,0.95
,973,0.945135135,0.95
,974,0.945135135,0.95
,975,0.944324324,0.95
,976,0.948378378,0.95
,977,0.947837838,0.95
,978,0.947297297,0.95
,979,0.944324324,0.95
,980,0.946486486,0.95
,981,0.948648649,0.95
,982,0.948378378,0.95
,983,0.945135135,0.95
,984,0.947837838,0.95
,985,0.945945946,0.95
,986,0.947297297,0.95
,987,0.944864865,0.95
,988,0.945135135,0.95
,989,0.947837838,0.95
,990,0.944864865,0.95
,991,0.948108108,0.95
,992,0.946756757,0.95
,993,0.948378378,0.95
,994,0.944594595,0.95
,995,0.948378378,0.95
,996,0.949189189,0.95
,997,0.947027027,0.95
,998,0.947027027,0.95
,999,0.949189189,0.95
,1000,0.948378378,0.95
